name, atts, limit, lr, iter, execution_time, error
numpy, 20 , 2 , 0.2 , 3000 , 0.189314603805542 , 0.28219911859585595
numpy, 20 , 20 , 0.2 , 300 , 0.02901148796081543 , 0.2584363435724317
numpy, 20 , 200 , 0.2 , 30 , 0.014577150344848633 , 0.2062629941645781
numpy, 20 , 2000 , 0.2 , 3 , 0.008681535720825195 , 0.6792330100761691
numpy, 200 , 2 , 0.2 , 3000 , 1.1567306518554688 , 0.21003602005382332
numpy, 200 , 20 , 0.2 , 300 , 0.22222685813903809 , 0.160507105063515
numpy, 200 , 200 , 0.2 , 30 , 0.04421520233154297 , 0.2000098522269693
numpy, 200 , 2000 , 0.2 , 3 , 0.036847591400146484 , 0.20002447702849724
